,wg_1_w,wg_1_p_1_x,wg_1_p_1_y,wg_1_p_2_x,wg_1_p_2_y,wg_1_p_3_x,wg_1_p_3_y,wg_1_p_4_x,wg_1_p_4_y,wg_2_w,wg_2_p_1_x,wg_2_p_1_y,wg_2_p_2_x,wg_2_p_2_y,wg_2_p_3_x,wg_2_p_3_y,wg_2_p_4_x,wg_2_p_4_y
tm1_1.59,,,-0.013150839147022161,-0.2158735892002786,-0.013150839147022161,0.2608253118095503,-0.01611423801885528,,-0.01611423801885528,,,0.01447017688546933,-0.02577852537345725,0.01447017688546933,-0.05536159561454473,0.004013125865478257,,0.004013125865478257
tm1_1.594,,,-0.012464176660615082,-0.2153163999182369,-0.012464176660615082,0.2589512604019607,-0.0159815463081289,,-0.0159815463081289,,,0.014853229528267306,-0.026337573392049164,0.014853229528267306,-0.05545153392472454,0.004134156169288283,,0.004134156169288283
tm1_1.598,,,-0.01181652519080518,-0.21462922653262845,-0.01181652519080518,0.2569899355038993,-0.015683767952780876,,-0.015683767952780876,,,0.015203560935783757,-0.027029923978302856,0.015203560935783757,-0.055660734176138184,0.004360356022008862,,0.004360356022008862
tm1_1.602,,,-0.011176833052706076,-0.21380562021951416,-0.011176833052706076,0.2550514888771996,-0.01585301935241612,,-0.01585301935241612,,,0.015031786893475124,-0.02743246296311244,0.015031786893475124,-0.05571948812074614,0.004860063513337361,,0.004860063513337361
tm1_1.606,,,-0.010535912161955364,-0.21290887312311804,-0.010535912161955364,0.25321117042200075,-0.01684441299804602,,-0.01684441299804602,,,0.01402026146098956,-0.02739397260002492,0.01402026146098956,-0.05546376153518378,0.005743984915320669,,0.005743984915320669
tm1_1.61,,,-0.010019985330527016,-0.21201257758526873,-0.010019985330527016,0.2513828067145633,-0.017973798763558115,,-0.017973798763558115,,,0.01267823597036698,-0.027504975138318115,0.01267823597036698,-0.055095044588243075,0.006815645076663235,,0.006815645076663235
tm1_1.614,,,-0.009891503213726796,-0.21124261208212716,-0.009891503213726796,0.24985789485260076,-0.01877301991514191,,-0.01877301991514191,,,0.01121440585180343,-0.028034597159800927,0.01121440585180343,-0.05488441675520549,0.007919398750795389,,0.007919398750795389
tm1_1.618,,,-0.010449891146590094,-0.21066713464764794,-0.010449891146590094,0.24908681999538146,-0.019018318848413502,,-0.019018318848413502,,,0.009673989293610982,-0.028841831969401956,0.009673989293610982,-0.05510351324282504,0.00889041343749133,,0.00889041343749133
tm1_1.622,,,-0.011718449036867643,-0.21018377320181555,-0.011718449036867643,0.24907461141938783,-0.018705082184810214,,-0.018705082184810214,,,0.008287392078675506,-0.02965333139481942,0.008287392078675506,-0.05580968778559599,0.00953479892911584,,0.00953479892911584
tm1_1.626,,,-0.013311196759314203,-0.20958981338681795,-0.013311196759314203,0.24933291615067965,-0.01809822984398171,,-0.01809822984398171,,,0.007366572018107527,-0.030219031573303825,0.007366572018107527,-0.05678553536514918,0.009704202039294289,,0.009704202039294289
